"['id', 'date', 'hour', 'leagueMatchNb', 'idHome', 'homeTeam', 'idAway', 'awayTeam', 'h_score', 'a_score', 'h_possession', 'h_shots', 'h_targettedShots', 'h_nonTargettedShots', 'h_blockedShots', 'h_freeKicks', 'h_corners', 'h_offPlays', 'h_throwsIns', 'h_goalKeeperSaves', 'h_fouls', 'h_redCards', 'h_yellowCards', 'h_attemptedPasses', 'h_succeededPasses', 'h_tackles', 'h_attacks', 'h_dangerousAttacks', 'a_possession', 'a_shots', 'a_targettedShots', 'a_nonTargettedShots', 'a_blockedShots', 'a_freeKicks', 'a_corners', 'a_offPlays', 'a_throwsIns', 'a_goalKeeperSaves', 'a_fouls', 'a_redCards', 'a_yellowCards', 'a_attemptedPasses', 'a_succeededPasses', 'a_tackles', 'a_attacks', 'a_dangerousAttacks']"
"[50, 20210425, 1500, '34', 15, 'RCSA', 18, 'FCN', '1', '2', 65, 12, 4, 4, 4, 22, 6, 0, 36, 3, 15, 0, 0, 1, 507, 22, 141, 63, 35, 7, 5, 2, 0, 20, 4, 4, 22, 3, 13, 0, 0, 3, 275, 23, 122, 43]"
"[51, 20210425, 1300, '34', 9, 'OGCN', 8, 'MHSC', '3', '1', 59, 18, 8, 3, 7, 25, 7, 1, 19, 2, 13, 0, 0, 1, 498, 15, 98, 46, 41, 14, 3, 8, 3, 22, 6, 2, 19, 5, 17, 0, 0, 2, 332, 22, 99, 48]"
"[52, 20210424, 1700, '34', 10, 'FCM', 2, 'PSG', '1', '3', 33, 8, 3, 4, 1, 16, 1, 1, 15, 5, 12, 0, 0, 1, 326, 15, 79, 30, 67, 19, 8, 10, 1, 17, 9, 0, 15, 2, 12, 0, 0, 4, 676, 26, 145, 42]"
"[53, 20210424, 1300, '34', 11, 'ASSE', 17, 'SB29', '1', '2', 43, 6, 3, 3, 0, 18, 3, 1, 33, 5, 17, 0, 0, 2, 326, 16, 120, 52, 57, 12, 7, 3, 2, 24, 2, 0, 26, 2, 11, 0, 0, 1, 442, 24, 107, 44]"
"[54, 20210423, 2100, '34', 14, 'SDR', 5, 'OM', '1', '3', 41, 10, 1, 3, 6, 6, 5, 2, 19, 3, 9, 0, 1, 2, 413, 19, 104, 48, 59, 11, 6, 2, 3, 15, 2, 2, 12, 0, 2, 0, 0, 0, 597, 11, 108, 31]"
"[55, 20210418, 2100, '33', 18, 'FCN', 4, 'OL', '1', '2', 49, 12, 3, 5, 4, 17, 5, 2, 20, 2, 16, 0, 0, 0, 473, 22, 95, 49, 51, 11, 4, 5, 2, 24, 4, 1, 28, 2, 10, 0, 0, 1, 494, 19, 67, 30]"
"[56, 20210418, 1705, '33', 12, 'FCGB', 3, 'ASM', '0', '3', 41, 7, 2, 3, 2, 15, 4, 1, 14, 3, 13, 0, 1, 4, 422, 18, 78, 30, 59, 13, 6, 4, 3, 22, 5, 2, 16, 2, 11, 0, 0, 1, 616, 17, 150, 58]"
"[57, 20210418, 1500, '33', 17, 'SB29', 7, 'RCL', '1', '1', 45, 7, 5, 2, 0, 25, 2, 2, 35, 1, 14, 0, 1, 2, 345, 18, 64, 22, 55, 8, 2, 3, 3, 20, 4, 1, 19, 4, 16, 0, 2, 7, 429, 14, 84, 23]"
"[58, 20210418, 1500, '33', 20, 'DFCO', 9, 'OGCN', '2', '0', 43, 9, 3, 2, 4, 19, 1, 5, 20, 2, 8, 0, 0, 1, 384, 17, 80, 25, 57, 10, 2, 6, 2, 18, 9, 1, 22, 1, 13, 0, 0, 1, 500, 23, 78, 38]"
"[59, 20210418, 1500, '33', 19, 'NO', 15, 'RCSA', '1', '1', 52, 5, 1, 4, 0, 24, 2, 3, 32, 2, 10, 0, 0, 0, 478, 12, 66, 28, 48, 7, 3, 2, 2, 14, 1, 0, 21, 0, 17, 0, 1, 2, 446, 19, 71, 18]"
"[60, 20210418, 1500, '33', 14, 'SDR', 10, 'FCM', '0', '0', 48, 15, 6, 7, 2, 24, 10, 1, 26, 2, 13, 0, 0, 3, 428, 19, 83, 47, 52, 11, 2, 6, 3, 21, 4, 3, 16, 6, 17, 0, 0, 1, 488, 12, 76, 32]"
"[61, 20210418, 1300, '33', 2, 'PSG', 11, 'ASSE', '3', '2', 72, 17, 5, 8, 4, 25, 13, 0, 21, 3, 13, 0, 0, 1, 678, 18, 168, 63, 28, 7, 5, 2, 0, 15, 3, 4, 17, 2, 15, 0, 0, 1, 266, 17, 65, 26]"
"[62, 20210417, 1700, '33', 5, 'OM', 16, 'FCL', '3', '2', 73, 13, 5, 5, 3, 21, 8, 1, 20, 4, 9, 0, 0, 1, 727, 11, 152, 58, 27, 12, 6, 5, 1, 13, 3, 0, 12, 2, 15, 0, 0, 0, 269, 9, 57, 21]"
"[63, 20210417, 1245, '33', 13, 'SCO', 6, 'SRFC', '0', '3', 41, 10, 3, 4, 3, 18, 2, 3, 15, 0, 11, 0, 0, 2, 470, 10, 88, 35, 59, 9, 3, 4, 2, 16, 3, 3, 15, 3, 10, 0, 0, 0, 689, 14, 147, 52]"
"[64, 20210416, 2100, '33', 1, 'LOSC', 8, 'MHSC', '1', '1', 63, 20, 9, 8, 3, 16, 9, 1, 24, 3, 14, 0, 0, 3, 597, 19, 152, 70, 37, 10, 4, 6, 0, 22, 0, 2, 14, 8, 11, 0, 0, 1, 347, 17, 103, 24]"
"[65, 20210411, 2100, '32', 4, 'OL', 13, 'SCO', '3', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[66, 20210411, 1705, '32', 3, 'ASM', 20, 'DFCO', '3', '0', 64, 16, 10, 4, 2, 21, 6, 4, 25, 1, 10, 0, 0, 1, 636, 19, 59, 30, 36, 6, 1, 5, 0, 19, 4, 1, 16, 7, 16, 0, 0, 1, 352, 14, 43, 15]"
"[67, 20210411, 1500, '32', 17, 'SB29', 19, 'NO', '1', '1', 64, 22, 4, 9, 9, 27, 9, 1, 23, 2, 15, 0, 0, 4, 514, 13, 162, 80, 36, 5, 3, 1, 1, 21, 2, 2, 18, 3, 16, 0, 0, 1, 310, 12, 72, 36]"
"[68, 20210411, 1500, '32', 7, 'RCL', 16, 'FCL', '4', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[69, 20210411, 1500, '32', 9, 'OGCN', 14, 'SDR', '0', '0', 55, 13, 2, 8, 3, 19, 10, 0, 11, 1, 13, 0, 0, 0, 478, 11, 103, 39, 45, 10, 1, 7, 2, 21, 6, 2, 14, 2, 11, 0, 0, 1, 384, 25, 106, 44]"
"[70, 20210411, 1500, '32', 11, 'ASSE', 12, 'FCGB', '4', '1', 37, 17, 7, 7, 3, 21, 5, 0, 20, 1, 12, 0, 0, 3, 304, 25, 96, 16, 63, 10, 2, 8, 0, 14, 6, 2, 30, 3, 17, 0, 0, 0, 528, 11, 111, 38]"
"[71, 20210411, 1300, '32', 6, 'SRFC', 18, 'FCN', '1', '0', 64, 14, 4, 8, 2, 24, 3, 2, 25, 2, 16, 0, 0, 6, 639, 21, 146, 62, 36, 4, 2, 2, 0, 21, 3, 0, 17, 3, 15, 0, 0, 2, 355, 18, 113, 53]"
"[72, 20210410, 2100, '32', 8, 'MHSC', 5, 'OM', '3', '3', 43, 20, 7, 6, 7, 18, 6, 2, 28, 5, 17, 0, 0, 2, 326, 12, 84, 65, 57, 13, 8, 2, 3, 26, 3, 0, 16, 4, 12, 0, 1, 2, 458, 15, 95, 37]"
"[73, 20210410, 1700, '32', 15, 'RCSA', 2, 'PSG', '1', '4', 37, 9, 3, 5, 1, 9, 5, 4, 20, 3, 8, 0, 0, 0, 353, 24, 86, 51, 63, 16, 7, 4, 5, 15, 4, 0, 21, 2, 6, 0, 0, 1, 633, 20, 127, 54]"
"[74, 20210409, 2100, '32', 10, 'FCM', 1, 'LOSC', '0', '2', 51, 18, 7, 5, 6, 19, 10, 0, 18, 4, 16, 0, 0, 2, 409, 23, 102, 50, 49, 9, 6, 2, 1, 28, 2, 2, 27, 7, 13, 0, 0, 2, 402, 26, 122, 40]"
"[75, 20210404, 2100, '31', 5, 'OM', 20, 'DFCO', '2', '0', 64, 16, 3, 7, 6, 21, 7, 3, 13, 1, 11, 0, 0, 2, 653, 20, 143, 50, 36, 4, 1, 1, 2, 22, 1, 3, 18, 1, 9, 0, 0, 4, 356, 13, 93, 28]"
"[76, 20210404, 1705, '31', 19, 'NO', 11, 'ASSE', '0', '2', 53, 14, 3, 6, 5, 26, 5, 2, 37, 3, 12, 0, 0, 5, 425, 23, 99, 41, 47, 15, 5, 7, 3, 18, 3, 1, 26, 3, 19, 0, 0, 2, 372, 22, 97, 52]"
"[77, 20210404, 1500, '31', 12, 'FCGB', 15, 'RCSA', '2', '3', 62, 14, 6, 6, 2, 24, 6, 0, 19, 2, 8, 0, 0, 1, 584, 8, 154, 59, 38, 12, 5, 4, 3, 9, 5, 0, 16, 4, 15, 0, 0, 1, 357, 20, 92, 52]"
"[78, 20210404, 1500, '31', 16, 'FCL', 17, 'SB29', '1', '0', 46, 13, 4, 5, 4, 34, 6, 3, 19, 1, 9, 0, 0, 3, 403, 14, 93, 39, 54, 5, 1, 2, 2, 15, 5, 0, 21, 3, 23, 0, 1, 2, 476, 13, 123, 32]"
"[79, 20210404, 1500, '31', 18, 'FCN', 9, 'OGCN', '1', '2', 50, 18, 6, 8, 4, 23, 10, 0, 24, 6, 15, 0, 0, 1, 423, 23, 121, 71, 50, 17, 8, 4, 5, 21, 5, 1, 19, 5, 14, 0, 0, 2, 439, 21, 77, 38]"
"[80, 20210404, 1500, '31', 14, 'SDR', 6, 'SRFC', '2', '2', 43, 9, 4, 5, 0, 15, 1, 1, 11, 6, 7, 0, 1, 3, 383, 8, 66, 34, 57, 19, 8, 4, 7, 9, 6, 1, 20, 2, 11, 0, 0, 3, 512, 10, 117, 63]"
"[81, 20210404, 1300, '31', 13, 'SCO', 8, 'MHSC', '1', '1', 62, 14, 4, 5, 5, 16, 4, 1, 25, 2, 15, 0, 0, 1, 613, 16, 149, 41, 38, 8, 3, 5, 0, 21, 0, 1, 25, 3, 9, 0, 0, 1, 362, 21, 108, 34]"
"[82, 20210403, 2100, '31', 7, 'RCL', 4, 'OL', '1', '1', 40, 10, 4, 5, 1, 22, 2, 1, 13, 5, 12, 0, 0, 3, 387, 12, 92, 51, 60, 15, 6, 7, 2, 17, 4, 2, 25, 3, 14, 0, 1, 3, 589, 19, 106, 75]"
"[83, 20210403, 1700, '31', 2, 'PSG', 1, 'LOSC', '0', '1', 65, 16, 3, 10, 3, 23, 5, 0, 28, 2, 18, 0, 1, 6, 578, 13, 102, 79, 35, 3, 3, 0, 0, 24, 0, 2, 17, 3, 12, 0, 1, 4, 323, 22, 59, 32]"
"[84, 20210403, 1300, '31', 3, 'ASM', 10, 'FCM', '4', '0', 61, 15, 6, 5, 4, 24, 8, 3, 23, 1, 16, 0, 0, 0, 514, 9, 93, 86, 39, 6, 1, 3, 2, 24, 1, 1, 13, 2, 15, 0, 1, 6, 329, 16, 69, 30]"
"[85, 20210321, 2100, '30', 4, 'OL', 2, 'PSG', '2', '4', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[86, 20210321, 1705, '30', 1, 'LOSC', 19, 'NO', '1', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[87, 20210321, 1500, '30', 17, 'SB29', 13, 'SCO', '0', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
