id,date,hour,leagueMatchNb,idHome,homeTeam,idAway,awayTeam,h_score,a_score,h_possession,h_shots,h_targettedShots,h_nonTargettedShots,h_blockedShots,h_freeKicks,h_corners,h_offPlays,h_throwsIns,h_goalKeeperSaves,h_fouls,h_redCards,h_yellowCards,h_attemptedPasses,h_succeededPasses,h_tackles,h_attacks,h_dangerousAttacks,a_possession,a_shots,a_targettedShots,a_nonTargettedShots,a_blockedShots,a_freeKicks,a_corners,a_offPlays,a_throwsIns,a_goalKeeperSaves,a_fouls,a_redCards,a_yellowCards,a_attemptedPasses,a_succeededPasses,a_tackles,a_attacks,a_dangerousAttacks
30,20211201,2100,16,41,CF63,7,RCL,2,2,53,19,7,10,2,20,5,3,29,0,7,1,4,493,0,11,102,45,47,9,2,6,1,13,3,0,15,5,13,0,5,449,0,13,123,23
31,20211201,2100,16,4,OL,14,SDR,1,2,63,14,6,4,4,27,3,0,21,2,14,0,3,626,0,15,134,57,37,8,4,2,2,20,4,3,22,5,17,0,2,363,0,13,116,46
32,20211201,2100,16,18,FCN,5,OM,0,1,30,3,1,0,2,10,4,5,16,4,13,1,3,313,261,17,59,25,70,15,5,6,4,29,6,1,12,1,7,0,2,763,707,13,135,61
33,20211201,2100,16,2,PSG,9,OGCN,0,0,70,22,5,8,9,22,6,4,27,2,5,0,1,731,660,11,153,85,30,4,2,1,1,10,5,1,10,5,13,0,3,308,230,21,67,22
34,20211201,2100,16,6,SRFC,1,LOSC,1,2,65,10,2,3,5,15,3,1,24,0,12,0,2,596,0,13,177,69,35,6,2,2,2,13,1,2,20,1,12,0,1,331,0,19,79,19
35,20211201,1900,16,13,SCO,3,ASM,1,3,48,9,3,5,1,29,4,3,20,5,13,0,1,411,324,9,82,34,52,14,8,3,3,23,4,5,17,2,18,0,2,449,349,30,130,54
36,20211201,1900,16,17,SB29,11,ASSE,1,0,35,8,3,3,2,10,1,1,27,3,8,0,2,349,260,19,88,47,65,13,3,6,4,16,3,0,23,2,9,0,3,634,553,21,164,37
37,20211201,1900,16,10,FCM,8,MHSC,1,3,46,20,7,6,7,15,7,0,20,4,14,0,2,405,347,9,108,56,54,10,7,3,0,19,4,2,26,6,9,0,2,498,416,18,93,27
38,20211201,1900,16,15,RCSA,12,FCGB,5,2,50,19,6,9,4,13,5,0,20,0,14,0,2,437,358,15,109,46,50,13,2,7,4,18,2,1,21,1,13,0,3,445,367,13,97,39
39,20211201,1900,16,25,ESTAC,16,FCL,2,0,55,10,3,7,0,22,4,0,22,3,12,0,1,505,401,22,118,40,45,9,3,5,1,15,3,2,15,1,11,0,1,409,319,9,117,36
40,20211128,2045,15,5,OM,25,ESTAC,1,0,56,14,4,7,3,19,7,2,22,2,10,0,1,490,390,17,99,38,44,5,2,3,0,13,3,2,15,3,17,0,4,391,301,10,55,9
41,20211128,1700,15,8,MHSC,4,OL,0,1,44,15,6,6,3,20,8,1,13,2,7,0,1,426,357,24,92,42,56,11,3,5,3,11,5,1,24,6,15,0,4,558,472,18,119,61
42,20211128,1500,15,12,FCGB,17,SB29,1,2,65,16,4,6,6,17,5,1,21,2,13,0,3,574,491,18,119,57,35,14,4,8,2,18,2,0,19,3,11,0,1,305,215,15,92,52
43,20211128,1500,15,16,FCL,6,SRFC,0,2,42,6,0,5,1,16,3,1,31,3,11,0,0,347,244,18,134,41,58,11,5,2,4,14,4,1,27,0,11,0,2,490,386,17,114,35
44,20211128,1500,15,3,ASM,15,RCSA,1,1,59,8,3,3,2,16,4,0,29,3,12,0,2,571,449,17,132,41,41,7,4,1,2,15,3,2,19,2,9,0,1,398,294,15,113,32
45,20211128,1500,15,14,SDR,41,CF63,1,0,41,12,3,8,1,16,4,2,19,0,13,0,2,417,330,18,107,35,59,4,0,4,0,20,1,0,26,2,13,0,2,616,526,19,110,44
46,20211128,1300,15,11,ASSE,2,PSG,1,3,29,8,4,3,1,17,5,1,11,5,7,1,3,277,221,17,56,21,71,15,8,5,2,11,5,5,13,3,10,0,1,720,662,20,147,77
47,20211127,2100,15,9,OGCN,10,FCM,0,1,70,20,2,12,6,9,8,1,35,0,13,0,2,636,542,17,178,61,30,4,1,2,1,12,1,0,6,2,12,0,2,274,203,26,63,16
48,20211127,1700,15,1,LOSC,18,FCN,1,1,59,10,3,3,4,14,12,3,32,2,7,0,1,486,388,24,104,66,41,7,3,4,0,10,1,3,17,2,12,1,2,345,250,21,101,32
49,20211126,2100,15,7,RCL,13,SCO,2,2,49,9,4,4,1,8,5,2,22,3,15,0,2,444,385,19,109,36,51,12,5,5,2,19,5,0,15,2,6,0,0,470,391,15,98,43
50,20211121,2045,-1,4,OL,5,OM,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,26,26,0,0,0
51,20211121,1700,14,41,CF63,9,OGCN,1,2,51,18,6,6,6,23,3,1,14,2,7,0,1,505,426,15,96,36,49,9,4,1,4,13,5,2,20,5,16,0,4,480,395,18,122,41
52,20211121,1500,14,13,SCO,16,FCL,1,0,54,8,4,4,0,18,6,1,24,3,15,0,4,547,469,8,142,55,46,10,3,5,2,22,3,0,13,3,13,0,0,464,389,26,113,28
53,20211121,1500,14,10,FCM,12,FCGB,3,3,46,20,9,5,6,16,2,1,25,2,12,1,2,398,320,13,120,43,54,19,5,7,7,17,4,1,19,6,11,0,2,484,395,14,98,44
54,20211121,1500,14,15,RCSA,14,SDR,1,1,68,21,3,8,10,21,5,1,39,2,8,0,1,537,438,26,167,92,32,10,3,6,1,11,4,0,9,2,13,0,4,256,172,19,61,15
55,20211121,1500,14,25,ESTAC,11,ASSE,0,1,47,15,3,7,5,16,6,1,20,3,13,0,1,390,319,10,79,50,53,14,4,8,2,20,8,1,21,3,11,0,4,458,377,18,113,29
56,20211121,1300,14,17,SB29,7,RCL,4,0,36,13,5,5,3,7,5,1,12,5,7,0,1,339,267,22,78,38,64,14,5,6,3,8,5,0,26,1,7,1,2,610,536,10,160,40
57,20211120,2100,14,6,SRFC,8,MHSC,2,0,68,30,7,14,9,18,8,0,19,2,9,0,1,641,567,13,133,74,32,4,2,0,2,12,2,1,16,5,10,1,3,313,222,6,74,17
58,20211120,1700,14,2,PSG,18,FCN,3,1,66,14,7,2,5,13,4,6,19,5,8,1,1,772,713,22,127,57,34,12,6,4,2,14,3,1,12,4,12,0,2,377,335,19,101,45
59,20211119,2100,14,3,ASM,1,LOSC,2,2,53,17,8,6,3,28,6,2,32,6,15,1,3,427,335,24,122,57,47,15,8,5,2,18,5,1,19,6,16,0,5,378,280,15,94,40
60,20211107,2045,13,6,SRFC,4,OL,4,1,48,25,12,8,5,19,7,5,20,3,12,0,2,447,370,15,131,61,52,6,4,2,0,20,2,2,15,8,12,0,2,487,410,16,92,33
61,20211107,1700,13,9,OGCN,8,MHSC,0,1,69,22,6,11,5,8,8,0,12,1,9,0,2,633,559,16,128,81,31,8,2,3,3,10,2,1,24,6,7,0,0,292,221,14,92,17
62,20211107,1500,13,16,FCL,17,SB29,1,2,39,9,3,3,3,16,3,2,17,3,9,1,1,334,245,17,64,18,61,16,5,8,3,15,6,3,30,2,9,0,1,516,436,17,150,61
63,20211107,1500,13,18,FCN,15,RCSA,2,2,47,20,6,7,7,18,9,0,24,4,15,0,2,357,281,15,120,48,53,16,6,6,4,24,5,1,33,4,12,1,1,413,309,32,105,48
64,20211107,1500,13,14,SDR,3,ASM,0,0,42,11,4,5,2,21,5,1,30,3,9,0,0,369,255,15,99,50,58,12,3,6,3,12,6,2,24,4,13,0,2,526,421,17,125,57
65,20211107,1500,13,11,ASSE,41,CF63,3,2,49,18,4,12,2,19,9,0,31,2,7,0,1,441,349,16,111,46,51,9,4,4,1,11,2,3,23,1,10,0,1,461,368,17,105,47
66,20211107,1300,13,5,OM,10,FCM,0,0,76,15,3,7,5,20,9,3,14,4,8,0,1,632,569,11,144,61,24,12,4,5,3,15,7,6,12,3,9,1,3,177,125,17,54,36
67,20211106,2100,13,12,FCGB,2,PSG,2,3,44,18,6,3,9,16,10,3,11,2,9,0,2,426,367,20,101,45,56,9,5,2,2,15,5,3,14,4,10,0,1,569,481,12,82,38
68,20211106,1700,13,1,LOSC,13,SCO,1,1,46,11,6,3,2,14,4,6,19,4,13,1,2,462,379,30,103,39,54,9,5,3,1,24,8,0,17,5,9,0,2,542,465,20,111,42
69,20211105,2100,13,7,RCL,25,ESTAC,4,0,60,28,12,11,5,10,4,1,16,6,14,0,1,633,555,13,139,39,40,14,6,5,3,15,2,2,15,8,8,0,1,418,348,14,74,33
70,20211031,2045,12,41,CF63,5,OM,0,1,41,12,1,6,5,16,4,2,18,3,14,0,1,377,315,18,85,33,59,9,4,3,2,25,2,0,19,1,11,0,4,557,484,13,85,49
71,20211031,1700,12,17,SB29,3,ASM,2,0,33,7,3,3,1,20,2,0,20,2,8,0,1,310,201,19,94,41,67,5,2,3,0,8,5,3,19,1,17,0,4,644,548,16,166,40
72,20211031,1500,12,12,FCGB,14,SDR,3,2,52,16,6,7,3,13,12,1,26,6,5,0,2,414,348,13,96,59,48,12,8,4,0,8,2,0,19,3,10,0,2,393,310,25,104,28
73,20211031,1500,12,8,MHSC,18,FCN,2,0,57,19,10,6,3,22,5,1,30,1,12,0,3,366,285,22,96,43,43,12,1,9,2,13,5,0,27,8,23,0,5,266,178,26,85,49
74,20211031,1500,12,15,RCSA,16,FCL,4,0,53,15,6,7,2,16,6,1,21,0,12,0,1,438,369,13,113,50,47,5,0,4,1,16,3,1,12,2,10,0,0,393,315,14,73,20
75,20211031,1500,12,25,ESTAC,6,SRFC,2,2,38,14,5,5,4,25,5,0,13,3,6,0,0,275,205,12,63,41,62,13,5,5,3,7,12,3,26,3,15,0,1,452,385,15,108,65
76,20211031,1300,12,13,SCO,9,OGCN,1,2,37,3,2,0,1,13,3,2,12,3,14,0,1,403,311,13,73,16,63,14,5,5,4,21,8,2,18,1,9,0,2,667,574,16,150,69
77,20211030,2100,12,4,OL,7,RCL,2,1,55,13,4,4,5,24,3,1,21,9,7,0,1,558,471,17,120,33,45,18,10,4,4,11,5,3,19,2,13,0,2,444,373,19,107,61
78,20211030,1700,12,10,FCM,11,ASSE,1,1,37,9,4,3,2,20,5,1,24,2,16,0,0,295,215,22,86,36,63,11,3,7,1,25,8,2,25,3,11,0,3,517,426,12,127,42
79,20211029,2100,12,2,PSG,1,LOSC,2,1,60,17,6,9,2,22,4,0,14,2,7,0,1,565,523,17,95,56,40,11,3,5,3,10,5,4,19,4,10,0,5,382,321,29,75,44
80,20211027,2100,3,9,OGCN,5,OM,1,1,45,11,3,5,3,10,6,8,22,0,16,0,2,434,364,13,44,16,55,7,1,2,4,30,5,1,21,2,8,0,2,535,460,15,48,20
81,20211024,2045,11,5,OM,2,PSG,0,0,48,15,1,9,5,12,4,4,8,4,7,0,1,484,435,20,94,43,52,10,4,3,3,11,5,4,15,1,8,1,2,526,467,10,100,30
82,20211024,1700,11,3,ASM,8,MHSC,3,1,64,14,4,4,6,22,4,3,21,3,14,0,1,585,491,21,115,42,36,13,4,2,7,15,4,6,21,1,16,0,4,307,233,12,94,29
83,20211024,1500,11,7,RCL,10,FCM,4,1,56,11,5,2,4,13,5,1,22,3,9,0,2,475,402,13,102,39,44,9,4,3,2,10,6,0,25,1,13,0,3,378,304,14,87,34
84,20211024,1500,11,16,FCL,12,FCGB,1,1,53,14,4,7,3,13,9,2,17,4,12,0,4,504,407,15,103,54,47,11,5,3,3,14,4,0,16,3,13,1,2,447,360,10,99,33
85,20211024,1500,11,14,SDR,25,ESTAC,1,2,55,18,5,8,5,14,7,1,27,2,14,1,4,450,368,22,124,54,45,7,4,1,2,15,1,1,32,4,13,0,2,373,286,19,80,19
86,20211024,1500,11,6,SRFC,15,RCSA,1,0,64,17,3,9,5,14,11,1,17,2,6,0,1,606,519,11,150,70,36,8,2,5,1,6,6,3,16,2,11,0,2,336,265,13,77,52
87,20211024,1300,11,9,OGCN,4,OL,3,2,42,17,7,8,2,11,3,1,22,6,11,0,1,417,333,24,91,35,58,13,8,3,2,16,2,2,17,4,7,1,0,569,489,27,106,41
88,20211023,2100,11,1,LOSC,17,SB29,1,1,63,13,3,7,3,17,5,1,28,4,10,0,1,564,465,17,145,66,37,13,5,6,2,12,4,1,13,2,15,0,2,324,232,21,100,34
89,20211023,1700,11,18,FCN,41,CF63,2,1,46,8,4,2,2,17,1,0,20,0,15,1,1,459,378,14,125,48,54,4,1,3,0,20,3,1,11,2,11,1,0,545,464,12,84,26
90,20211022,2100,11,11,ASSE,13,SCO,2,2,64,17,6,5,6,29,6,4,18,0,12,0,0,547,459,34,166,75,36,4,2,1,1,21,1,1,27,4,18,0,3,314,223,25,78,29
91,20211017,2045,10,5,OM,16,FCL,4,1,64,16,6,6,4,18,6,2,14,6,7,0,0,574,513,12,133,42,36,15,7,7,1,10,4,1,15,2,10,0,1,321,254,18,70,19
92,20211017,1700,10,8,MHSC,7,RCL,1,0,50,15,6,4,5,17,3,1,29,5,8,1,4,408,318,9,102,56,50,18,5,10,3,9,2,1,28,5,16,0,4,413,324,18,102,54
93,20211017,1500,10,12,FCGB,18,FCN,1,1,60,8,1,6,1,19,2,1,23,6,10,0,2,490,387,14,118,39,40,13,7,6,0,11,5,3,23,0,16,0,3,321,221,11,101,50
94,20211017,1500,10,17,SB29,14,SDR,1,1,55,9,4,2,3,14,7,1,30,1,18,0,3,438,337,14,120,71,45,13,2,5,6,18,7,1,23,3,13,0,4,360,259,21,91,40
95,20211017,1500,10,10,FCM,6,SRFC,0,3,35,9,2,4,3,11,4,2,16,5,14,0,3,338,268,14,87,29,65,21,8,8,5,16,10,2,16,2,9,0,1,655,587,13,123,56
96,20211017,1500,10,15,RCSA,11,ASSE,5,1,52,12,6,5,1,13,7,0,22,1,18,0,3,451,379,19,107,35,48,4,2,2,0,18,4,3,16,2,10,1,2,421,361,17,98,38
97,20211017,1300,10,25,ESTAC,9,OGCN,1,0,38,8,3,3,2,20,4,2,14,3,10,0,2,336,259,16,80,39,62,11,3,6,2,12,3,0,14,2,20,0,1,575,498,12,142,46
98,20211016,2100,10,4,OL,3,ASM,2,0,62,14,8,5,1,12,2,1,16,3,8,0,1,673,596,15,133,45,38,9,3,2,4,8,4,2,22,6,10,0,2,411,325,25,110,30
99,20211016,1700,10,41,CF63,1,LOSC,1,0,43,9,3,5,1,10,6,0,25,2,9,0,1,387,305,16,94,63,57,9,2,4,3,9,9,1,23,2,8,0,2,519,426,20,116,55
100,20211015,2100,10,2,PSG,13,SCO,2,1,73,13,2,9,2,12,6,3,21,1,8,0,1,725,673,21,146,80,27,7,2,2,3,11,5,3,14,0,10,0,2,260,208,26,60,24
101,20211003,2045,9,11,ASSE,4,OL,1,1,45,18,6,9,3,13,6,3,22,4,14,0,2,350,271,15,89,49,55,15,5,3,7,18,4,4,24,5,10,1,3,455,370,8,102,46
102,20211003,1700,9,1,LOSC,5,OM,2,0,36,12,5,6,1,14,3,5,18,3,10,0,2,316,248,22,75,48,64,10,3,5,2,15,5,1,20,3,13,1,3,552,484,10,95,46
103,20211003,1500,9,13,SCO,10,FCM,3,2,58,18,5,4,9,12,12,1,18,0,16,0,1,563,491,14,130,50,42,2,2,0,0,17,2,1,22,2,11,0,3,412,335,26,101,31
104,20211003,1500,9,16,FCL,41,CF63,1,1,46,6,1,2,3,13,4,0,22,3,19,0,2,442,343,15,130,35,54,8,4,2,2,19,4,1,28,0,12,0,1,529,436,20,106,25
105,20211003,1500,9,3,ASM,12,FCGB,3,0,57,12,4,3,5,13,10,5,19,1,12,0,2,481,395,29,119,42,43,4,1,0,3,17,2,2,23,1,13,0,1,360,290,9,87,31
106,20211003,1500,9,18,FCN,25,ESTAC,2,0,54,8,4,2,2,10,3,2,17,4,14,0,2,441,362,20,108,39,46,15,4,6,5,16,7,1,25,2,10,0,2,371,306,19,105,59
107,20211003,1300,9,6,SRFC,2,PSG,2,0,33,12,4,5,3,6,4,2,9,0,9,0,2,282,218,15,80,57,67,13,0,10,3,11,4,2,17,2,4,0,3,593,520,18,110,70
108,20211002,2100,9,9,OGCN,17,SB29,2,1,70,20,9,10,1,13,6,3,14,1,8,0,1,765,679,15,186,62,30,6,2,3,1,11,2,1,14,7,12,0,1,323,230,16,80,24
109,20211002,1700,9,8,MHSC,15,RCSA,1,1,55,12,4,3,5,14,3,0,19,2,12,0,2,521,399,13,125,37,45,6,3,2,1,12,4,0,15,3,14,0,0,432,343,17,93,33
110,20211001,2100,9,7,RCL,14,SDR,2,0,61,13,7,4,2,14,5,2,20,0,13,0,3,660,592,18,139,52,39,3,0,3,0,15,3,2,21,5,13,1,1,417,339,18,79,25
111,20210926,2045,8,5,OM,7,RCL,2,3,60,13,4,6,3,21,5,3,29,2,4,0,2,554,485,16,95,31,40,13,5,4,4,7,7,0,12,2,14,0,1,361,305,20,79,37
112,20210926,1700,8,41,CF63,3,ASM,1,3,53,12,4,5,3,17,5,2,17,0,9,0,2,515,433,16,125,51,47,6,3,3,0,15,1,0,17,3,12,0,4,462,379,15,92,31
113,20210926,1500,8,17,SB29,10,FCM,1,2,66,11,2,5,4,16,4,4,29,2,16,0,3,474,393,17,139,85,34,6,4,1,1,20,3,1,14,1,16,0,2,247,156,19,77,27
114,20210926,1500,8,14,SDR,18,FCN,3,1,45,9,5,2,2,17,3,1,23,1,14,0,1,345,262,18,73,33,55,11,2,5,4,19,7,2,29,2,10,0,1,416,325,17,135,71
115,20210926,1500,8,25,ESTAC,13,SCO,1,1,37,6,3,3,0,10,2,1,11,5,9,1,4,319,261,20,74,33,63,17,6,5,6,14,9,0,11,2,8,0,2,563,512,18,113,54
116,20210926,1300,8,12,FCGB,6,SRFC,1,1,46,10,3,5,2,22,8,3,17,7,6,0,1,326,253,15,108,35,54,18,8,8,2,8,6,2,16,2,20,0,4,389,309,14,90,42
117,20210925,2100,8,4,OL,16,FCL,1,1,53,12,2,5,5,20,9,1,14,4,9,1,1,483,413,10,117,56,47,12,5,5,2,15,3,2,15,1,10,0,2,436,370,8,102,38
118,20210925,2100,8,2,PSG,8,MHSC,2,0,54,16,5,7,4,13,8,5,14,4,10,0,0,521,465,25,114,67,46,10,4,3,3,19,7,1,22,3,8,0,1,440,377,17,72,34
119,20210925,1900,8,15,RCSA,1,LOSC,1,2,57,10,3,6,1,23,8,0,26,5,17,1,4,446,360,9,110,54,43,16,7,6,3,21,8,1,17,2,12,0,4,336,258,16,81,33
120,20210925,1700,8,11,ASSE,9,OGCN,0,3,60,11,6,2,3,19,2,5,30,6,9,0,0,496,386,19,152,63,40,14,9,4,1,18,9,2,33,6,13,0,2,332,233,19,92,34
121,20210922,2100,7,13,SCO,5,OM,0,0,41,9,1,7,1,8,4,1,16,1,9,0,1,468,401,21,108,54,59,6,1,1,4,11,2,1,27,1,7,0,3,696,621,19,145,53
122,20210922,2100,7,7,RCL,15,RCSA,0,1,60,17,4,7,6,8,7,1,13,0,14,1,2,666,589,8,181,53,40,6,1,4,1,15,3,1,13,4,7,0,3,447,372,15,81,27
123,20210922,2100,7,16,FCL,9,OGCN,1,0,36,8,1,2,5,16,6,3,28,1,12,1,2,300,220,17,99,37,64,13,1,9,3,14,5,0,28,0,16,0,4,535,459,18,131,42
124,20210922,2100,7,4,OL,25,ESTAC,3,1,69,15,8,5,2,10,7,5,23,6,7,0,1,648,573,17,136,56,31,12,7,4,1,12,3,1,16,5,9,0,3,280,218,19,64,31
125,20210922,2100,7,10,FCM,2,PSG,1,2,26,6,2,3,1,13,3,4,12,3,12,1,6,238,168,12,55,17,74,15,5,5,5,16,3,1,31,1,12,0,2,717,642,13,176,48
126,20210922,1900,7,1,LOSC,14,SDR,2,1,53,7,4,2,1,15,4,1,19,4,16,0,2,410,324,17,115,42,47,11,5,3,3,16,4,1,23,2,14,0,1,363,292,14,82,33
127,20210922,1900,7,3,ASM,11,ASSE,3,1,66,14,6,6,2,15,6,3,15,2,16,0,1,589,500,24,155,67,34,9,3,5,1,19,3,3,13,3,13,1,1,296,226,21,97,29
128,20210922,1900,7,8,MHSC,12,FCGB,3,3,54,15,6,8,1,9,6,2,25,4,10,0,0,476,401,11,118,60,46,15,7,5,3,13,6,1,20,3,8,0,2,410,324,14,97,51
129,20210922,1900,7,18,FCN,17,SB29,3,1,41,14,6,4,4,15,4,2,22,1,8,0,1,360,264,14,101,48,59,10,2,3,5,11,4,2,32,3,13,0,2,514,422,12,128,41
130,20210922,1900,7,6,SRFC,41,CF63,6,0,55,21,10,6,5,5,5,0,23,1,14,0,2,519,445,20,148,38,45,4,1,2,1,14,7,0,21,4,5,0,1,406,333,9,74,30
131,20210919,2045,6,2,PSG,4,OL,2,1,54,14,5,6,3,21,10,2,9,4,13,0,3,511,465,16,120,67,46,12,5,3,4,15,4,3,15,3,19,0,1,436,380,18,80,38
132,20210919,1700,6,5,OM,6,SRFC,2,0,64,17,6,7,4,17,6,0,19,2,5,0,0,542,476,13,104,64,36,13,2,9,2,6,7,1,21,4,17,0,2,291,225,15,85,39
133,20210919,1500,6,13,SCO,18,FCN,1,4,66,10,5,4,1,16,10,1,23,0,10,0,2,568,491,26,119,54,34,8,4,4,0,11,5,1,30,4,16,0,2,286,206,25,103,44
134,20210919,1500,6,41,CF63,17,SB29,1,1,58,7,4,3,0,20,3,0,20,0,7,1,1,565,490,19,86,35,42,5,1,1,3,7,5,1,10,3,19,0,1,410,343,15,101,45
